date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,ad_spend,conversions,CPA,revenue,ROAS
2024-05-24,TikTok Ads,Shopping,Fintech,India,174160,9683,0.0556,1.84,17816.72,512,34.8,73177.92,4.11
2024-01-05,TikTok Ads,Display,Fintech,UAE,6015,410,0.0683,1.93,791.3,28,28.26,4383.32,5.54
2024-01-06,Meta Ads,Search,Healthcare,Australia,17763,726,0.0409,1.94,1408.44,30,46.95,1946.19,1.38
2024-10-14,TikTok Ads,Search,EdTech,India,97193,6230,0.0641,1.6,9968.0,306,32.58,81609.12,8.19
2024-03-06,Meta Ads,Shopping,Healthcare,UAE,58682,1748,0.0298,1.49,2604.52,84,31.01,12746.65,4.89
2024-03-21,TikTok Ads,Display,SaaS,Canada,108196,5334,0.0493,0.99,5280.66,289,18.27,27408.56,5.19
2024-01-08,Google Ads,Search,Fintech,India,63243,1707,0.027,2.24,3823.68,37,103.34,3893.12,1.02
2024-08-20,Google Ads,Search,E-commerce,UAE,152979,4650,0.0304,0.79,3673.5,330,11.13,91949.73,25.03
2024-01-08,Google Ads,Display,EdTech,USA,132600,6802,0.0513,1.53,10407.06,97,107.29,6779.29,0.65
2024-09-30,Google Ads,Video,Fintech,Australia,110977,4150,0.0374,1.13,4689.5,197,23.8,18314.78,3.91
2024-03-07,Google Ads,Search,EdTech,UK,87152,3599,0.0413,2.63,9465.37,127,74.53,25958.5,2.74
2024-08-16,Meta Ads,Shopping,Fintech,UAE,164096,1919,0.0117,0.66,1266.54,139,9.11,7181.17,5.67
2024-08-10,Meta Ads,Shopping,Healthcare,Germany,21389,941,0.044,0.8,752.8,46,16.37,8479.43,11.26
2024-04-27,Google Ads,Shopping,Healthcare,India,69323,2169,0.0313,2.19,4750.11,94,50.53,16337.12,3.44
2024-05-17,Google Ads,Display,SaaS,UAE,138291,3318,0.024,0.83,2753.94,217,12.69,12761.51,4.63
2024-11-29,TikTok Ads,Shopping,EdTech,UK,72444,2339,0.0323,1.39,3251.21,153,21.25,12919.22,3.97
2024-12-04,Google Ads,Search,Healthcare,UAE,160002,7520,0.047,2.96,22259.2,403,55.23,70823.58,3.18
2024-08-12,Meta Ads,Search,E-commerce,USA,16246,448,0.0276,1.99,891.52,8,111.44,1955.09,2.19
2024-06-05,Meta Ads,Shopping,Fintech,Germany,15789,423,0.0268,1.81,765.63,7,109.38,1223.95,1.6
2024-06-05,Google Ads,Search,EdTech,Australia,25103,710,0.0283,2.34,1661.4,24,69.23,1896.75,1.14
2024-12-28,TikTok Ads,Display,SaaS,India,138515,4377,0.0316,0.51,2232.27,285,7.83,10321.59,4.62
2024-02-20,Meta Ads,Search,EdTech,Australia,180399,6025,0.0334,0.7,4217.5,191,22.08,17456.79,4.14
2024-05-16,Meta Ads,Video,E-commerce,UAE,62545,606,0.0097,1.96,1187.76,37,32.1,5627.66,4.74
2024-06-30,Google Ads,Shopping,Fintech,Canada,72526,2146,0.0296,1.56,3347.76,168,19.93,25859.74,7.72
2024-07-07,Meta Ads,Display,EdTech,Australia,67823,2075,0.0306,1.83,3797.25,26,146.05,4093.91,1.08
2024-06-23,Meta Ads,Display,E-commerce,India,164937,4453,0.027,1.08,4809.24,129,37.28,35127.5,7.3
2024-12-14,Meta Ads,Search,EdTech,UK,114575,2039,0.0178,0.53,1080.67,113,9.56,10656.96,9.86
2024-06-13,Google Ads,Shopping,Fintech,Germany,132157,2999,0.0227,0.93,2789.07,152,18.35,21855.26,7.84
2024-01-11,TikTok Ads,Video,Healthcare,Germany,108145,3882,0.0359,0.94,3649.08,98,37.24,28726.52,7.87
2024-04-29,TikTok Ads,Search,SaaS,India,72642,3014,0.0415,1.16,3496.24,59,59.26,15070.44,4.31
2024-04-07,TikTok Ads,Display,Healthcare,UAE,131678,8374,0.0636,0.91,7620.34,505,15.09,29682.01,3.9
2024-05-13,Google Ads,Video,E-commerce,Australia,34402,1314,0.0382,3.29,4323.06,17,254.3,1273.24,0.29
2024-10-08,Meta Ads,Video,Healthcare,Germany,58276,1183,0.0203,1.49,1762.67,89,19.81,20273.71,11.5
2024-08-14,Google Ads,Shopping,EdTech,Canada,168059,3462,0.0206,3.08,10662.96,154,69.24,33243.77,3.12
2024-08-16,Meta Ads,Video,Fintech,Canada,91123,1567,0.0172,2.33,3651.11,64,57.05,5119.1,1.4
2024-05-28,Meta Ads,Shopping,Fintech,Australia,16344,452,0.0277,0.9,406.8,5,81.36,1102.53,2.71
2024-03-26,TikTok Ads,Video,SaaS,UAE,99457,5808,0.0584,1.6,9292.8,80,116.16,12231.1,1.32
2024-06-07,Meta Ads,Video,E-commerce,India,57375,843,0.0147,1.61,1357.23,40,33.93,9739.81,7.18
2024-04-17,Google Ads,Display,E-commerce,UAE,115017,2771,0.0241,2.56,7093.76,95,74.67,22528.38,3.18
2024-09-28,Meta Ads,Search,EdTech,USA,90431,1853,0.0205,1.7,3150.1,57,55.26,14834.93,4.71
2024-03-13,Meta Ads,Search,E-commerce,USA,140566,5046,0.0359,0.62,3128.52,384,8.15,59980.19,19.17
2024-02-28,Meta Ads,Search,EdTech,Germany,133583,3954,0.0296,0.65,2570.1,255,10.08,31756.12,12.36
2024-04-08,Google Ads,Video,E-commerce,USA,198555,13104,0.066,2.46,32235.84,336,95.94,58794.32,1.82
2024-09-23,Meta Ads,Display,Healthcare,UK,88560,1319,0.0149,0.52,685.88,81,8.47,8584.02,12.52
2024-06-24,Google Ads,Display,Fintech,UAE,117217,5602,0.0478,3.49,19550.98,411,47.57,75729.26,3.87
2024-08-24,Meta Ads,Shopping,Fintech,UAE,104616,4048,0.0387,1.77,7164.96,233,30.75,45906.84,6.41
2024-02-14,TikTok Ads,Video,Healthcare,Canada,79553,2712,0.0341,0.31,840.72,170,4.95,16973.79,20.19
2024-08-20,Google Ads,Search,Fintech,USA,170904,4751,0.0278,1.12,5321.12,326,16.32,44297.15,8.32
2024-07-14,Google Ads,Search,Healthcare,India,88807,4999,0.0563,2.37,11847.63,348,34.04,103474.34,8.73
2024-08-14,Meta Ads,Shopping,EdTech,Canada,157499,1574,0.01,1.76,2770.24,45,61.56,13465.06,4.86
2024-09-27,Meta Ads,Search,E-commerce,Australia,46846,983,0.021,0.72,707.76,11,64.34,2501.87,3.53
2024-09-18,TikTok Ads,Search,Fintech,Germany,104986,6131,0.0584,0.36,2207.16,219,10.08,57679.5,26.13
2024-05-24,Meta Ads,Shopping,EdTech,India,172516,6314,0.0366,0.72,4546.08,335,13.57,82096.8,18.06
2024-08-23,Meta Ads,Display,E-commerce,India,187099,2469,0.0132,0.83,2049.27,103,19.9,3413.17,1.67
2024-04-04,Google Ads,Shopping,SaaS,India,111661,3930,0.0352,0.84,3301.2,310,10.65,21226.88,6.43
2024-06-09,Meta Ads,Display,EdTech,Germany,79441,3082,0.0388,0.53,1633.46,100,16.33,29391.59,17.99
2024-04-15,Google Ads,Display,SaaS,Australia,14078,763,0.0542,2.26,1724.38,57,30.25,16289.72,9.45
2024-01-07,Meta Ads,Shopping,Fintech,Australia,182235,5047,0.0277,0.74,3734.78,260,14.36,53450.65,14.31
2024-02-24,Meta Ads,Video,SaaS,Canada,128629,2109,0.0164,1.29,2720.61,168,16.19,49256.62,18.1
2024-04-02,Meta Ads,Display,Fintech,Canada,21309,432,0.0203,1.66,717.12,15,47.81,4449.98,6.21
2024-09-06,Google Ads,Search,Fintech,USA,167932,6717,0.04,2.46,16523.82,247,66.9,38475.06,2.33
2024-01-08,TikTok Ads,Search,Fintech,UK,162795,8107,0.0498,0.96,7782.72,575,13.54,86383.64,11.1
2024-08-18,Meta Ads,Search,EdTech,UK,50893,1124,0.0221,1.41,1584.84,29,54.65,2707.5,1.71
2024-09-22,TikTok Ads,Display,SaaS,UAE,81619,3623,0.0444,0.47,1702.81,222,7.67,46448.44,27.28
2024-07-25,Meta Ads,Search,EdTech,Germany,154381,1698,0.011,1.85,3141.3,70,44.88,19750.24,6.29
2024-01-12,Google Ads,Search,Fintech,India,124273,3603,0.029,1.55,5584.65,167,33.44,20460.25,3.66
2024-12-01,Meta Ads,Video,Healthcare,Germany,6969,176,0.0253,1.08,190.08,10,19.01,2562.91,13.48
2024-05-24,TikTok Ads,Display,SaaS,UK,29089,1076,0.037,0.65,699.4,40,17.48,8233.32,11.77
2024-07-10,Google Ads,Shopping,SaaS,UK,10704,489,0.0457,1.71,836.19,36,23.23,5339.04,6.38
2024-12-04,TikTok Ads,Search,E-commerce,Australia,22772,1045,0.0459,0.95,992.75,38,26.12,5743.6,5.79
2024-04-11,Google Ads,Search,Fintech,Germany,68449,3285,0.048,2.38,7818.3,243,32.17,60681.21,7.76
2024-10-26,Google Ads,Search,SaaS,UAE,51819,2497,0.0482,2.88,7191.36,138,52.11,37600.62,5.23
2024-11-19,Google Ads,Video,Fintech,Australia,173722,3821,0.022,1.54,5884.34,201,29.28,44895.5,7.63
2024-12-15,Google Ads,Shopping,SaaS,USA,119014,5938,0.0499,2.88,17101.44,95,180.02,23773.95,1.39
2024-05-20,Google Ads,Search,SaaS,Australia,159741,6868,0.043,1.37,9409.16,336,28.0,33272.11,3.54
2024-02-29,Google Ads,Shopping,Fintech,Germany,167982,7693,0.0458,2.64,20309.52,193,105.23,10777.69,0.53
2024-06-08,Google Ads,Video,Fintech,Germany,96658,2822,0.0292,3.37,9510.14,112,84.91,25060.16,2.64
2024-01-19,Meta Ads,Video,EdTech,India,43467,991,0.0228,1.9,1882.9,25,75.32,3146.23,1.67
2024-01-05,Google Ads,Search,EdTech,UK,41378,2023,0.0489,1.23,2488.29,73,34.09,9343.63,3.76
2024-10-26,TikTok Ads,Video,EdTech,India,100673,5718,0.0568,1.05,6003.9,196,30.63,41067.13,6.84
2024-12-13,TikTok Ads,Shopping,Healthcare,Australia,191994,14898,0.0776,1.08,16089.84,936,17.19,60355.75,3.75
2024-05-21,TikTok Ads,Display,EdTech,UK,152235,6104,0.0401,0.73,4455.92,252,17.68,48424.44,10.87
2024-12-07,Meta Ads,Video,Fintech,Australia,66929,1539,0.023,1.21,1862.19,38,49.01,9540.22,5.12
2024-05-09,Google Ads,Video,SaaS,Canada,188202,7189,0.0382,1.15,8267.35,376,21.99,88923.49,10.76
2024-01-25,Google Ads,Video,Fintech,USA,184316,4091,0.0222,1.04,4254.64,309,13.77,82363.46,19.36
2024-09-10,Google Ads,Video,Healthcare,Canada,65545,3355,0.0512,1.77,5938.35,196,30.3,57936.29,9.76
2024-06-04,Google Ads,Video,Healthcare,USA,33141,798,0.0241,3.29,2625.42,42,62.51,7236.65,2.76
2024-07-09,Meta Ads,Video,Healthcare,Germany,76229,1562,0.0205,1.01,1577.62,30,52.59,4290.5,2.72
2024-11-09,TikTok Ads,Search,SaaS,Australia,141614,10677,0.0754,0.35,3736.95,305,12.25,62355.52,16.69
2024-07-14,Meta Ads,Shopping,Healthcare,UK,161193,4916,0.0305,1.37,6734.92,377,17.86,91408.9,13.57
2024-02-17,Google Ads,Search,SaaS,Germany,142244,4935,0.0347,2.98,14706.3,127,115.8,34307.21,2.33
2024-03-27,Meta Ads,Search,Fintech,UAE,178063,1851,0.0104,0.45,832.95,64,13.01,7044.13,8.46
2024-01-28,Google Ads,Video,Fintech,Australia,193978,5780,0.0298,1.73,9999.4,177,56.49,42071.17,4.21
2024-02-18,Meta Ads,Display,SaaS,Canada,187051,6284,0.0336,2.01,12630.84,493,25.62,94906.46,7.51
2024-01-11,Meta Ads,Video,EdTech,UK,152977,5491,0.0359,1.35,7412.85,147,50.43,9232.39,1.25
2024-05-01,Google Ads,Display,E-commerce,UAE,129447,4310,0.0333,2.7,11637.0,211,55.15,16618.47,1.43
2024-01-22,Google Ads,Shopping,Fintech,USA,28387,672,0.0237,3.32,2231.04,41,54.42,7232.57,3.24
2024-04-27,Meta Ads,Shopping,Fintech,Australia,88986,1308,0.0147,0.75,981.0,80,12.26,21439.34,21.85
2024-01-10,Google Ads,Video,SaaS,UK,170268,7917,0.0465,3.14,24859.38,98,253.67,22672.12,0.91
2024-01-20,Google Ads,Display,Healthcare,USA,122322,6152,0.0503,1.23,7566.96,155,48.82,10417.89,1.38
2024-02-07,Meta Ads,Display,Healthcare,UK,69429,2430,0.035,1.59,3863.7,119,32.47,21584.01,5.59
2024-06-07,Meta Ads,Display,SaaS,Canada,196675,4031,0.0205,1.97,7941.07,186,42.69,27686.79,3.49
2024-05-25,Google Ads,Video,E-commerce,Australia,104134,3603,0.0346,3.46,12466.38,234,53.28,14496.48,1.16
2024-12-24,Meta Ads,Display,EdTech,Canada,150544,2890,0.0192,1.7,4913.0,170,28.9,47769.42,9.72
2024-10-28,TikTok Ads,Video,SaaS,Canada,75553,3331,0.0441,0.44,1465.64,203,7.22,33301.04,22.72
2024-11-04,Google Ads,Shopping,EdTech,Germany,44579,2933,0.0658,2.70,7919.10,242,32.72,25024.36,
2024-07-02,Google Ads,Search,EdTech,Germany,140475,7853,0.0559,2.31,,551,32.92,360631.75,19.88
2024-07-08,LinkedIn Ads,Shopping,Fintech,UAE,191013,8194,0.0429,1.34,10979.96,287,,236837.74,21.57
2024-02-03,LinkedIn Ads,Search,Healthcare,India,166263,5204,0.0313,0.55,2862.20,271,,12021.24,
2024-07-03,TikTok Ads,Shopping,E-commerce,Germany,192699,3295,1.71%,2.65,8731.75,244,35.79,240996.30,27.60
2024-04-28,Google Ads,Display,Healthcare,Singapore,174640,12731,0.0729,0.95,,571,21.18,230157.38,
2024-12-22,Google Ads,Video,E-commerce,Germany,50834,2323,0.0457,1.32,3066.36,197,15.57,59855.35,19.52
2024-04-22,TikTok Ads,Search,EdTech,USA,219037,7666,0.0350,1.31,10042.46,267,37.61,265623.07,
2024-12-11,Meta Ads,Display,SaaS,Singapore,45452,1423,0.0313,1.24,,84,21.01,14027.93,7.95
2024-10-14,LinkedIn Ads,Shopping,EdTech,UAE,141569,6795,0.0480,2.97,20181.15,545,,100098.50,4.96
2024-03-26,LinkedIn Ads,Search,SaaS,Australia,164208,13908,0.0847,2.20,30597.60,1224,,740767.90,
2024-01-22,Google Ads,Shopping,Real Estate,India,37242,1244,3.34%,0.94,1169.36,25,46.77,23901.72,20.44
2024-12-09,Meta Ads,Search,Real Estate,Canada,175496,8617,0.0491,1.08,,398,23.38,48300.01,
2024-09-01,TikTok Ads,Display,Fintech,UK,103153,7850,0.0761,3.23,25355.50,326,77.78,60346.09,2.38
2024-10-03,Google Ads,Display,Fintech,UAE,41657,2508,0.0602,3.62,9078.96,79,114.92,137546.24,
2024-10-14,Meta Ads,Video,Real Estate,Canada,112593,9525,0.0846,2.61,,483,51.47,369920.52,14.88
2024-02-08,Meta Ads,Search,Healthcare,USA,162221,8500,0.0524,2.40,20400.00,174,,409020.00,20.05
2024-01-08,Google Ads,Search,Healthcare,UK,142782,4198,0.0294,2.67,11208.66,147,,49318.10,
2024-10-19,LinkedIn Ads,Video,SaaS,Australia,57914,1095,1.89%,2.64,2890.80,49,59.00,34631.78,11.98
2024-12-02,Google Ads,Search,SaaS,India,217870,16318,0.0749,1.25,,544,37.50,265167.50,
2024-07-06,TikTok Ads,Display,EdTech,UK,124164,8816,0.0710,3.31,29180.96,237,123.13,541015.00,18.54
2024-09-27,Google Ads,Search,EdTech,UAE,114539,5441,0.0475,1.13,6148.33,262,23.47,14694.51,
2024-07-01,LinkedIn Ads,Shopping,SaaS,Canada,118888,7478,0.0629,2.88,,560,38.46,404888.83,18.80
2024-08-05,Meta Ads,Shopping,EdTech,USA,159828,10501,0.0657,0.61,6405.61,441,,13836.12,2.16
2024-08-17,Meta Ads,Search,E-commerce,UK,56712,964,0.0170,0.63,607.32,77,,7154.23,
2024-10-08,Google Ads,Search,SaaS,India,76358,2054,2.69%,2.84,5833.36,75,77.78,67491.98,11.57
2024-11-21,TikTok Ads,Display,Healthcare,UK,10441,475,0.0455,3.79,,43,41.87,5022.70,
2024-04-17,TikTok Ads,Video,Healthcare,UK,72037,2809,0.0390,0.94,2640.46,220,12.00,52650.77,19.94
2024-10-26,Google Ads,Shopping,Real Estate,UK,43203,1352,0.0313,3.43,4637.36,97,47.81,23325.92,
2024-05-20,Meta Ads,Shopping,EdTech,Canada,140489,6701,0.0477,3.48,,531,43.92,77187.48,3.31
2024-07-27,TikTok Ads,Search,Fintech,India,210144,4518,0.0215,3.73,16852.14,141,,216044.43,12.82
2024-12-14,Google Ads,Search,Fintech,UAE,151023,2205,0.0146,1.66,3660.30,129,,45717.15,
2024-01-10,TikTok Ads,Search,Healthcare,Germany,186799,5641,3.02%,0.75,4230.75,421,10.05,105134.14,24.85
2024-07-20,Meta Ads,Video,EdTech,UAE,116080,1602,0.0138,2.90,,69,67.33,121348.30,
2024-11-28,Meta Ads,Shopping,EdTech,UK,108281,8197,0.0757,3.32,27214.04,292,93.20,626195.06,23.01
2024-08-12,TikTok Ads,Video,EdTech,USA,181023,4725,0.0261,1.52,7182.00,380,18.90,194632.20,
2024-05-12,LinkedIn Ads,Shopping,Fintech,UK,76475,1912,0.0250,3.67,,74,94.82,26313.90,3.75
2024-07-12,TikTok Ads,Display,E-commerce,UK,108976,8467,0.0777,1.05,8890.35,196,,112551.83,12.66
2024-09-26,Meta Ads,Shopping,SaaS,UK,182125,14424,0.0792,2.52,36348.48,958,,152300.13,
2024-05-17,TikTok Ads,Display,Healthcare,Australia,190769,6410,3.36%,0.83,5320.30,317,16.78,140349.51,26.38
2024-11-24,Meta Ads,Shopping,SaaS,USA,87658,2884,0.0329,1.86,,175,30.65,99828.51,
2024-08-15,LinkedIn Ads,Video,E-commerce,Singapore,216072,16810,0.0778,3.11,52279.10,536,97.54,162588.00,3.11
2024-09-22,TikTok Ads,Search,EdTech,Canada,66888,4742,0.0709,0.90,4267.80,110,38.80,117620.57,
2024-10-28,Google Ads,Display,SaaS,Germany,196310,12328,0.0628,2.08,,457,56.11,477971.35,18.64
2024-01-25,Google Ads,Display,EdTech,UAE,218792,17919,0.0819,2.16,38705.04,421,,293384.20,7.58
2024-02-15,Meta Ads,Display,Real Estate,India,205984,15881,0.0771,2.48,39384.88,1117,,572262.31,
2024-09-15,Meta Ads,Display,SaaS,Canada,205073,6152,3.00%,2.57,15810.64,453,34.90,236843.39,14.98
2024-11-08,TikTok Ads,Display,Fintech,Canada,69471,2209,0.0318,1.49,,128,25.71,15008.83,
2024-04-13,Meta Ads,Video,Fintech,Australia,114849,4158,0.0362,1.98,8232.84,101,81.51,193060.10,23.45
2024-07-25,Google Ads,Display,SaaS,USA,100211,3387,0.0338,1.73,5859.51,279,21.00,137874.27,
2024-09-24,Meta Ads,Display,EdTech,Canada,122251,5807,0.0475,1.72,,388,25.74,224830.78,22.51
2024-12-06,LinkedIn Ads,Video,E-commerce,USA,111290,6143,0.0552,2.65,16278.95,159,,202835.72,12.46
2024-08-06,Google Ads,Shopping,SaaS,India,63485,2870,0.0452,1.55,4448.50,234,,37233.94,
2024-07-09,Google Ads,Display,Fintech,USA,99740,2833,2.84%,0.63,1784.79,246,7.26,3391.10,1.90
2024-01-08,Meta Ads,Search,E-commerce,UAE,70533,1495,0.0212,2.68,,89,45.02,26964.42,
2024-12-09,TikTok Ads,Video,E-commerce,UK,211893,15214,0.0718,3.68,55987.52,419,133.62,83981.28,1.50
2024-05-19,LinkedIn Ads,Display,Real Estate,Germany,27922,1541,0.0552,3.22,4962.02,57,87.05,98049.52,
2024-05-28,Google Ads,Search,Healthcare,Australia,181413,7093,0.0391,2.12,,311,48.35,359538.50,23.91
2024-08-04,LinkedIn Ads,Shopping,Real Estate,Singapore,193416,4487,0.0232,1.00,4487.00,254,,82964.63,18.49
2024-10-26,LinkedIn Ads,Display,SaaS,Canada,92490,6863,0.0742,3.22,22098.86,179,,547609.75,
2024-04-25,LinkedIn Ads,Display,Healthcare,USA,137579,10195,7.41%,1.02,10398.90,355,29.29,233975.25,22.50
2024-06-09,TikTok Ads,Search,E-commerce,Germany,30442,901,0.0296,1.78,,53,30.26,11771.75,
2024-08-21,LinkedIn Ads,Display,Fintech,UK,85132,2401,0.0282,2.75,6602.75,99,66.69,109737.71,16.62
2024-08-18,TikTok Ads,Display,Real Estate,India,100225,6344,0.0633,1.32,8374.08,239,35.04,34166.25,
2024-04-11,Google Ads,Video,EdTech,Germany,201620,9537,0.0473,2.86,,843,32.36,411046.61,15.07
2024-05-04,Meta Ads,Shopping,EdTech,India,55039,1877,0.0341,2.81,5274.37,54,,10759.71,2.04
2024-01-18,TikTok Ads,Video,Real Estate,Singapore,34892,2641,0.0757,2.35,6206.35,140,,79317.15,
2024-03-02,TikTok Ads,Display,Fintech,UK,113043,5415,4.79%,2.36,12779.40,368,34.73,63002.44,4.93
2024-10-10,Google Ads,Video,Fintech,Australia,166942,9265,0.0555,2.50,,688,33.67,258261.88,
2024-08-10,LinkedIn Ads,Shopping,E-commerce,USA,167811,13777,0.0821,0.74,10194.98,1011,10.08,181572.59,17.81
2024-05-22,Google Ads,Video,EdTech,UAE,152701,2672,0.0175,0.41,1095.52,138,7.94,18569.06,
2024-05-02,Meta Ads,Shopping,Real Estate,Canada,192283,14383,0.0748,0.64,,523,17.60,73640.96,8.00
2024-11-19,Meta Ads,Display,Fintech,Germany,177773,4071,0.0229,1.30,5292.30,122,,12807.37,2.42
2024-05-20,TikTok Ads,Display,Fintech,Singapore,188532,6448,0.0342,1.77,11412.96,252,,176786.75,
2024-08-03,Google Ads,Display,Real Estate,India,166259,5038,3.03%,0.71,3576.98,440,8.13,84202.11,23.54
2024-10-19,Google Ads,Shopping,E-commerce,USA,208044,13981,0.0672,2.00,,917,30.49,719182.64,
2024-03-19,LinkedIn Ads,Display,Fintech,Singapore,99215,4147,0.0418,1.49,6179.03,113,54.68,31945.59,5.17
2024-07-23,LinkedIn Ads,Shopping,Real Estate,Australia,207360,10824,0.0522,1.95,21106.80,455,46.39,202414.21,
2024-07-28,Google Ads,Display,SaaS,USA,57173,2847,0.0498,2.52,,156,45.99,91976.32,12.82
2024-01-07,TikTok Ads,Video,Healthcare,Singapore,191042,9055,0.0474,0.50,4527.50,580,,102049.85,22.54
2024-12-06,TikTok Ads,Search,E-commerce,Australia,32434,921,0.0284,3.26,3002.46,26,,79745.34,
2024-11-27,Meta Ads,Display,Real Estate,Canada,141397,8979,6.35%,1.81,16251.99,483,33.65,221677.14,13.64
2024-08-18,Meta Ads,Display,EdTech,UAE,26300,847,0.0322,3.09,,42,62.31,68597.60,
2024-09-09,Google Ads,Shopping,Real Estate,Canada,161862,8789,0.0543,2.64,23202.96,708,32.77,300478.33,12.95
2024-08-12,TikTok Ads,Display,SaaS,India,57454,4803,0.0836,1.21,5811.63,225,25.83,139944.05,
2024-07-02,TikTok Ads,Display,Real Estate,Australia,109208,9195,0.0842,3.09,,604,47.04,140358.00,4.94
2024-01-05,TikTok Ads,Search,SaaS,UK,145874,11451,0.0785,0.45,5152.95,345,,126195.75,24.49
2024-03-03,LinkedIn Ads,Shopping,Healthcare,Australia,178350,3192,0.0179,1.52,4851.84,215,,74281.67,
2024-06-21,LinkedIn Ads,Search,E-commerce,UK,69543,4040,5.81%,3.53,14261.20,363,39.29,301053.93,21.11
2024-07-04,Google Ads,Display,EdTech,Canada,15588,240,0.0154,3.11,,10,74.64,8210.40,
2024-03-08,LinkedIn Ads,Video,EdTech,UAE,28701,1622,0.0565,1.70,2757.40,110,25.07,39541.12,14.34
